,1,2,3,4,5,6,7,8,9,10
1,3.1851,2.6509,1.8272,2.3368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
2,2.3442,2.1950,2.0172,1.2899,2.1538,0.0000,0.0000,0.0000,0.0000,0.0000,1.8116
3,1.7108,1.7087,1.7666,1.5062,1.2575,2.0502,0.0000,0.0000,0.0000,0.0000,3.1029
4,1.0471,1.3072,1.4416,1.3827,1.5392,1.2548,2.0275,0.0000,0.0000,0.0000,5.0699
5,0.6480,0.8090,1.1152,1.1410,1.4288,1.5531,1.2548,2.0502,0.0000,0.0000,8.1923
6,0.3974,0.4962,0.6840,0.8747,1.1685,1.4288,1.5392,1.2575,2.1538,0.0000,13.3570
7,0.2380,0.2972,0.4096,0.5239,0.8747,1.1410,1.3827,1.5062,1.2899,2.3368,22.3024
8,0.1861,0.2324,0.3203,0.4096,0.6840,1.1152,1.4416,1.7666,2.0172,1.8272,28.5229
9,0.1350,0.1686,0.2324,0.2972,0.4962,0.8090,1.3072,1.7087,2.1950,2.6509,39.3188
10,0.1081,0.1350,0.1861,0.2380,0.3974,0.6480,1.0471,1.7108,2.3442,3.1851,49.0867
,1.0000,1.2484,1.7210,2.2010,3.6750,5.9918,9.6819,15.8197,27.0956,49.0867
